"","id","thumbnail_url","medium_url","picture_url","xl_picture_url","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","zipcode","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","downtown","kitchen","restaurants","laundry","harvard","bus","subway","airport","nosmoking","amenities_list","amenity_counts","TV","Wireless.Internet","Kitchen","Free.Parking.on.Premises","Pets.live.on.this.property","Dogs","Heating","FamilyKid.Friendly","Washer","Dryer","Smoke.Detector","Fire.Extinguisher","Essentials","Shampoo","Laptop.Friendly.Workspace","Internet","Air.Conditioning","Pets.Allowed","Carbon.Monoxide.Detector","Lock.on.Bedroom.Door","Hangers","Hair.Dryer","Iron","Cable.TV","First.Aid.Kit","Safety.Card","Gym","Breakfast","Indoor.Fireplace","Cats","X24Hour.Checkin","Hot.Tub","BuzzerWireless.Intercom","Other.pets","Washer..Dryer","Smoking.Allowed","Suitable.for.Events","Wheelchair.Accessible","Elevator.in.Building","Pool","Doorman","Paid.Parking.Off.Premises","Free.Parking.on.Street","avgprice","pricevar","counteng","pos","neg","zero","wordcount","charcount","sentiment","count"
"1",3353,1,1,1,1,"within a few hours",90,78,0,1,1,6,6,5,1,1,"Allston","02134",1,"Apartment","Private room",1,1,1,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",100,50,1,0,7,365,0,0,0,249,34,90,9,8,9,9,9,9,0,0,"strict",0,0,2,0.38,0,0,0,1,0,1,1,0,1,"Internet, Wireless Internet, Air Conditioning, Kitchen, BuzzerWireless Intercom, Heating, Washer, Dryer, Smoke Detector",9,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35.2048192771084,1.69578313253011,32,0.96875,0.03125,0,68.25,369.75,0.28132903252295,34
"2",5506,1,1,1,1,"within a day",100,90,0,1,1,7,7,4,1,1,"Roxbury","02119",1,"House","Private room",2,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Heating,Washer,Dryer}",0,40,2,0,3,730,14,39,69,344,36,91,9,10,10,10,9,10,0,0,"strict",0,0,6,0.4,0,0,0,0,0,0,1,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Heating, Washer, Dryer",8,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.267441860465,290.470540375619,35,1,0,0,65.6857142857143,354.742857142857,0.374417397153112,36
"3",6695,1,1,1,1,"within a day",100,90,0,1,1,7,7,4,1,1,"Roxbury","02119",1,"Apartment","Entire home/apt",4,1,1,2,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",0,70,2,8,3,730,3,19,49,324,47,95,9,10,10,10,8,9,0,0,"strict",0,0,6,0.54,0,0,0,0,0,0,1,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Heating, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, Essentials, Shampoo, 24Hour Checkin, Hangers, Hair Dryer, Iron, Laptop Friendly Workspace",18,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,197.407407407407,308.118335053318,44,1,0,0,85.1590909090909,467.386363636364,0.343149363386054,47
"4",6976,1,1,1,1,"within a few hours",100,88,1,1,1,1,1,4,1,1,"Roslindale","02131",1,"Apartment","Private room",2,1,1,1,"Real Bed","{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",0,0,1,20,3,45,19,46,61,319,41,98,10,9,10,10,9,10,0,0,"moderate",1,0,1,0.47,0,0,0,0,0,1,0,1,1,"TV, Cable TV, Wireless Internet, Air Conditioning, Kitchen, Free Parking on Premises, Heating, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Safety Card, Essentials, Shampoo, Lock on Bedroom Door",16,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,41,0.975609756097561,0,0.024390243902439,82.609756097561,452,0.35946150387193,41
"5",8792,0,0,1,0,"within a few hours",100,93,0,1,1,12,12,2,1,0,"Downtown","02108",1,"Apartment","Entire home/apt",3,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating}",0,250,0,0,30,365,0,0,0,248,18,91,10,9,10,9,10,10,0,0,"moderate",0,0,10,0.21,0,0,0,1,0,0,0,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Doorman, Elevator in Building, Heating",9,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,154,0,18,1,0,0,73.3333333333333,402.888888888889,0.475212036934259,18
"6",9273,0,0,1,0,"within a day",94,69,0,1,1,5,5,3,1,0,"East Boston","02128",1,"Apartment","Entire home/apt",4,2,2,2,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer}",0,80,4,20,3,365,29,59,89,364,13,100,10,10,10,10,9,9,0,0,"super_strict_30",0,0,1,0.18,0,0,0,0,0,0,0,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Free Parking on Premises, Heating, Washer, Dryer",10,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,13,1,0,0,93.8461538461538,521.461538461538,0.322932332268871,13
"7",9765,0,0,1,0,"within a few hours",89,45,0,1,1,558,558,4,1,1,"South End","02118",1,"Apartment","Entire home/apt",2,1,NA,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Indoor Fireplace"",Heating,Washer,Dryer}",0,75,1,0,2,120,27,57,87,362,9,89,10,10,10,9,10,8,0,0,"super_strict_30",0,1,79,0.15,0,0,0,1,0,0,0,0,0,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Indoor Fireplace, Heating, Washer, Dryer",10,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.85635359116,1717.33110910454,9,1,0,0,67,354.333333333333,0.297520086064729,9
"8",9824,1,1,1,1,"within a few hours",89,45,0,1,1,558,558,4,1,1,"Back Bay","02115",1,"Apartment","Entire home/apt",2,1,NA,1,"Real Bed","{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating}",0,0,1,0,2,365,10,29,48,323,22,78,8,9,10,9,10,8,0,0,"super_strict_30",0,1,79,0.35,0,0,0,0,0,0,0,0,1,"Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Heating",6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.321981424149,2175.8338941984,22,0.954545454545455,0.0454545454545455,0,59.1363636363636,331,0.280498583433632,22
"9",9855,0,0,1,0,"within a few hours",89,45,0,1,1,558,558,4,1,1,"Fenway","02215",1,"Apartment","Entire home/apt",3,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Pets Allowed"",Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",0,150,1,0,4,365,29,59,89,364,3,90,NA,NA,NA,NA,NA,NA,0,0,"super_strict_30",0,1,79,0.04,0,0,0,0,0,0,0,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Wheelchair Accessible, Pool, Kitchen, Pets Allowed, Gym, Elevator in Building, Heating, FamilyKid Friendly, Washer, Dryer",15,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,266.554945054945,321.553446553446,3,1,0,0,89.3333333333333,506.333333333333,0.316641414141414,3
"10",9857,1,1,1,1,"within a few hours",89,45,0,1,1,558,558,4,1,1,"Back Bay","02116",1,"Apartment","Entire home/apt",4,1,2,2,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials}",0,0,6,0,2,120,15,42,72,347,21,87,9,10,10,10,10,9,0,0,"super_strict_30",0,1,79,0.35,0,0,0,0,0,0,0,0,0,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Elevator in Building, Indoor Fireplace, Heating, FamilyKid Friendly, Washer, Dryer, Essentials",13,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,363.394812680115,5475.8176608752,21,0.952380952380952,0.0476190476190476,0,46.7619047619048,257.285714285714,0.420111932985445,21
"11",9858,0,0,1,0,"within a few hours",89,45,0,1,1,558,558,4,1,1,"Back Bay","02116",1,"Apartment","Entire home/apt",6,1,2,2,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,Gym,""Elevator in Building"",Heating,Washer,Dryer,Essentials}",0,0,1,0,2,730,29,59,89,364,1,NA,NA,NA,NA,NA,NA,NA,0,0,"super_strict_30",0,1,79,0.07,0,0,0,0,0,0,0,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Wheelchair Accessible, Kitchen, Gym, Elevator in Building, Heating, Washer, Dryer, Essentials",13,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,486.774725274725,8038.83616383617,1,0,0,1,14,88,0,1
"12",9860,0,0,1,0,"within a few hours",89,45,0,1,1,558,558,4,1,1,"Back Bay","02116",1,"Apartment","Entire home/apt",2,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",0,0,1,0,2,120,18,48,78,353,22,85,8,9,10,9,10,9,0,0,"super_strict_30",0,1,79,0.28,0,0,0,1,0,0,0,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Pets Allowed, Elevator in Building, Heating, FamilyKid Friendly, Washer, Dryer",12,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,269.759206798867,2726.74014936906,21,0.952380952380952,0.0476190476190476,0,58.4285714285714,316.857142857143,0.420417141528893,22
