"","id","thumbnail_url","medium_url","picture_url","xl_picture_url","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","zipcode","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","downtown","kitchen","restaurants","laundry","harvard","bus","subway","airport","nosmoking","amenities_list","amenity_counts","TV","Wireless Internet","Kitchen","Free Parking on Premises","Pets live on this property","Dogs","Heating","FamilyKid Friendly","Washer","Dryer","Smoke Detector","Fire Extinguisher","Essentials","Shampoo","Laptop Friendly Workspace","Internet","Air Conditioning","Pets Allowed","Carbon Monoxide Detector","Lock on Bedroom Door","Hangers","Hair Dryer","Iron","Cable TV","First Aid Kit","Safety Card","Gym","Breakfast","Indoor Fireplace","Cats","24Hour Checkin","Hot Tub","BuzzerWireless Intercom","Other pets","Washer  Dryer","Smoking Allowed","Suitable for Events","Wheelchair Accessible","Elevator in Building","Pool","Doorman","Paid Parking Off Premises","Free Parking on Street"
"1",12147973,1,1,1,1,"N/A",NA,NA,0,1,1,1,1,4,1,0,"Roslindale","02131",1,"House","Entire home/apt",4,1.5,2,3,"Real Bed","{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace""}",0,35,1,0,2,1125,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,"moderate",0,0,1,NA,0,0,1,0,0,1,0,0,1,"TV, Wireless Internet, Kitchen, Free Parking on Premises, Pets live on this property, Dogs, Heating, FamilyKid Friendly, Washer, Dryer, Smoke Detector, Fire Extinguisher, Essentials, Shampoo, Laptop Friendly Workspace",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",3075044,1,1,1,1,"within an hour",100,100,0,1,1,1,1,7,1,1,"Roslindale","02131",1,"Apartment","Private room",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",95,10,0,0,2,15,26,54,84,359,36,94,10,9,10,10,9,9,0,1,"moderate",0,0,1,1.3,0,1,0,1,0,1,1,0,0,"TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Pets Allowed, Pets live on this property, Dogs, Heating, FamilyKid Friendly, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, Fire Extinguisher, Essentials, Shampoo, Lock on Bedroom Door, Hangers, Hair Dryer, Iron",21,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",6976,1,1,1,1,"within a few hours",100,88,1,1,1,1,1,4,1,1,"Roslindale","02131",1,"Apartment","Private room",2,1,1,1,"Real Bed","{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",0,0,1,20,3,45,19,46,61,319,41,98,10,9,10,10,9,10,0,0,"moderate",1,0,1,0.47,0,0,0,0,0,1,0,1,1,"TV, Cable TV, Wireless Internet, Air Conditioning, Kitchen, Free Parking on Premises, Heating, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Safety Card, Essentials, Shampoo, Lock on Bedroom Door",16,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1436513,1,1,1,1,"within a few hours",100,50,0,1,1,1,1,3,1,0,"Roslindale","",0,"House","Private room",4,1,1,2,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",100,50,2,25,1,1125,6,16,26,98,1,100,10,10,10,10,10,10,0,0,"moderate",0,0,1,1,0,0,1,0,0,1,1,0,0,"TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Free Parking on Premises, Gym, Breakfast, Indoor Fireplace, Heating, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Safety Card, Fire Extinguisher, Essentials, Shampoo, Hangers, Hair Dryer, Iron, Laptop Friendly Workspace",23,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",7651065,1,1,1,1,"within an hour",100,100,1,1,1,1,1,4,1,1,"Roslindale","02131",1,"House","Private room",2,1.5,1,2,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",0,15,1,0,2,31,13,34,59,334,29,99,10,10,10,10,9,10,0,0,"flexible",0,0,1,2.25,0,0,0,0,0,1,1,1,1,"Internet, Wireless Internet, Air Conditioning, Kitchen, Breakfast, Heating, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Essentials, Shampoo, Hangers, Hair Dryer, Iron",14,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",12386020,1,1,1,1,"within a few hours",100,95,1,1,1,2,2,4,1,1,"Roslindale","02131",1,"Condominium","Private room",2,1,1,1,"Real Bed","{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron}",0,30,1,0,2,1125,5,28,58,58,8,100,10,10,10,10,9,10,0,0,"flexible",0,0,1,1.7,1,0,0,0,0,1,0,0,1,"Cable TV, Wireless Internet, Air Conditioning, Kitchen, Free Parking on Premises, Pets live on this property, Cats, Heating, FamilyKid Friendly, Smoke Detector, Carbon Monoxide Detector, Hangers, Iron",13,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",5706985,1,1,1,1,"within an hour",98,96,0,1,1,5,5,5,1,1,"Roslindale","02131",0,"Apartment","Entire home/apt",3,1,1,2,"Real Bed","{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",0,0,1,25,1,1125,22,39,69,344,57,90,10,10,10,10,9,9,0,0,"strict",0,0,3,4,1,0,0,0,0,1,0,0,1,"TV, Internet, Wireless Internet, Kitchen, Free Parking on Premises, Heating, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Fire Extinguisher, Essentials, Shampoo, 24Hour Checkin",13,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8",2843445,1,1,1,1,"within a few hours",100,100,1,1,1,2,2,5,1,1,"Roslindale","02131",1,"House","Private room",2,2,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",0,10,1,15,1,1125,30,60,90,365,67,96,10,10,10,10,10,10,0,0,"moderate",1,1,2,2.38,0,0,0,0,0,1,0,0,0,"TV, Internet, Wireless Internet, Air Conditioning, Free Parking on Premises, Breakfast, Pets live on this property, Dogs, Indoor Fireplace, Heating, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Safety Card, Fire Extinguisher, Essentials, Shampoo, Hangers, Hair Dryer, Iron, Laptop Friendly Workspace",23,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",753446,1,1,1,1,"within an hour",100,100,1,1,1,1,1,5,1,1,"Roslindale","02131",1,"Condominium","Private room",2,1,1,2,"Real Bed","{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer""}",0,0,2,0,2,1125,12,42,72,347,65,96,10,10,10,10,9,10,0,0,"moderate",0,0,1,5.36,1,0,0,0,0,0,0,0,1,"Wireless Internet, Pets live on this property, Cats, Heating, FamilyKid Friendly, Smoke Detector, Carbon Monoxide Detector, Shampoo, Hangers, Hair Dryer",10,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",849408,1,1,1,1,"within an hour",100,100,1,1,1,2,2,5,1,1,"Roslindale","02131",1,"Apartment","Entire home/apt",5,1,2,2,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",200,50,4,25,4,10,20,50,80,107,33,94,10,9,10,10,9,9,0,0,"strict",0,0,2,1.01,0,0,0,1,0,1,1,0,1,"TV, Cable TV, Internet, Wireless Internet, Air Conditioning, Kitchen, Free Parking on Premises, Heating, FamilyKid Friendly, Washer, Dryer, Smoke Detector, Carbon Monoxide Detector, First Aid Kit, Fire Extinguisher, Essentials, Shampoo, 24Hour Checkin, Hangers, Hair Dryer, Iron, Laptop Friendly Workspace",22,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
